id,loss
4,1474.88745117
6,2087.31469727
9,8010.37109375
12,5724.72265625
15,809.432556152
17,2254.56591797
21,2102.1887207
28,893.315612793
32,2385.42944336
43,3174.35888672
46,2780.73291016
50,945.984375
54,1278.12243652
62,1827.13671875
70,2226.13745117
71,5080.20556641
75,2106.1640625
77,2123.86035156
81,2519.98901367
83,2269.75512695
87,1943.98181152
97,1537.94213867
103,1219.9831543
119,1170.03918457
120,1716.17504883
127,968.94744873
138,3760.01245117
141,3766.01489258
148,767.691345215
150,2355.84765625
151,2167.0144043
158,1530.81005859
160,5420.81591797
165,2865.60620117
168,3720.59375
169,3539.36083984
177,2821.47021484
178,3309.26293945
184,1874.45446777
194,8493.20605469
198,1731.6315918
203,3916.23583984
211,2499.14404297
217,1216.20666504
219,1366.07055664
221,4601.89355469
227,1802.42736816
230,1520.37573242
235,1994.46313477
240,699.95324707
243,3082.75610352
249,6952.7890625
253,2792.88793945
258,1404.69934082
261,1638.82458496
263,3650.4152832
264,2434.49707031
265,4395.65527344
268,1723.63549805
271,1101.45874023
274,5639.69238281
275,670.669189453
279,1470.54736328
282,1595.34643555
286,3009.484375
288,1136.15795898
294,2241.55200195
296,1000.12634277
297,1326.41210938
300,792.75213623
303,8746.06738281
314,1083.97692871
315,4597.91455078
321,2354.06347656
323,3951.37109375
330,3910.53637695
341,1952.02404785
342,4161.31152344
352,1656.04956055
353,3540.46533203
360,5374.57861328
361,2233.88671875
362,4066.83837891
366,1356.88781738
372,3257.203125
376,2590.94458008
377,2349.45239258
379,1594.32800293
380,4057.91015625
387,1892.86291504
392,1967.73535156
394,10051.9804688
395,1511.19348145
397,1506.24768066
407,6001.52636719
411,8126.609375
416,2697.57983398
417,1567.89001465
419,3923.24267578
428,5534.51464844
431,1850.66235352
436,9180.31445312
438,1507.41516113
445,7126.45605469
446,6576.57568359
455,1271.01293945
456,1395.74487305
461,911.10723877
463,1904.53491211
464,3854.3972168
466,1624.05859375
467,1431.63671875
470,1283.75683594
475,1395.11462402
482,3389.23388672
490,3168.49267578
496,1725.90783691
497,4028.85083008
508,2815.61181641
510,1818.39123535
512,1869.35388184
513,3791.72802734
523,1813.34997559
531,4573.48681641
532,2371.76147461
533,1340.55432129
537,1147.05322266
544,4726.453125
547,2743.18701172
556,7942.98583984
565,1333.83459473
566,1144.08911133
571,1436.24926758
573,1553.81103516
574,916.420898438
581,2005.21118164
585,2008.91271973
589,1895.36364746
597,1639.6237793
601,3297.70898438
602,1827.63244629
613,1608.54333496
616,1396.57165527
619,2306.93457031
622,2047.28149414
623,1820.2767334
629,1546.66186523
634,1536.49755859
638,1022.34191895
642,1063.79833984
643,2033.9987793
645,1027.94104004
648,6847.21875
652,1302.0
664,1070.71240234
666,2144.03393555
672,925.470336914
676,2046.20056152
678,4040.45556641
682,1729.44995117
686,2700.11523438
688,1995.20214844
689,1267.92175293
690,1717.67126465
692,11245.1845703
695,1631.97924805
697,3929.38549805
698,2128.30810547
706,2626.87036133
708,1489.87426758
712,2676.2722168
715,4425.47509766
717,1400.60095215
725,3108.15576172
729,1158.94616699
737,1398.01757812
739,5522.22949219
747,3298.17724609
753,2643.73779297
758,2181.67333984
759,2152.49438477
763,1476.7767334
773,4145.65527344
774,1917.60583496
776,1554.34692383
788,3142.40039062
790,2386.43603516
794,1071.2244873
801,2847.29052734
802,1463.06799316
805,1325.74975586
809,5235.10205078
812,1519.91333008
825,2289.28369141
828,2183.65209961
830,1455.44384766
833,1176.48608398
850,5828.10839844
852,5957.50195312
862,1348.71948242
863,1333.62646484
864,1445.83728027
865,3433.92114258
868,6355.33105469
872,1639.58691406
879,5396.57519531
880,1462.1496582
883,1266.62683105
886,1425.69714355
923,1657.1451416
924,1411.05981445
932,1362.77539062
945,5803.6796875
947,6219.33886719
948,2009.81567383
955,2815.12133789
963,4058.55395508
979,1466.58654785
989,1400.34106445
994,2960.1809082
995,1773.21032715
998,1404.1505127
1000,4002.23486328
1018,1553.72680664
1019,1719.58557129
1028,1650.45214844
1034,1279.14978027
1038,1503.86743164
1040,1399.29528809
1042,1347.39941406
1057,7387.45458984
1058,2103.06835938
1063,1080.03173828
1066,4089.27026367
1071,4206.03759766
1073,4530.61669922
1074,2674.95776367
1077,2721.52661133
1080,9805.47851562
1088,908.187988281
1096,794.934143066
1097,11938.3535156
1105,5786.26171875
1115,1771.64807129
1116,2958.13427734
1122,2188.52001953
1130,4966.94287109
1133,1069.38891602
1137,1823.72167969
1140,1948.79333496
1143,7791.49462891
1149,5155.75878906
1150,851.949035645
1153,766.980102539
1157,833.543945312
1180,627.510742188
1183,870.419555664
1188,1654.42248535
1193,1094.60717773
1200,754.681640625
1209,3409.21606445
1214,1946.90588379
1219,1885.2935791
1223,5862.91064453
1227,839.596557617
1228,1456.88574219
1229,4079.99365234
1233,951.288269043
1238,6130.44189453
1239,1858.36657715
1241,3250.89770508
1243,1786.9987793
1244,1221.11010742
1245,3335.33935547
1277,4522.29785156
1279,3275.82006836
1292,11852.3808594
1293,1418.29724121
1299,9533.23925781
1304,2855.30786133
1313,3716.05029297
1328,2097.80273438
1330,984.251342773
1334,1512.42175293
1335,1305.73535156
1336,5175.78662109
1341,1062.84777832
1344,1096.75415039
1351,929.557739258
1352,2911.44189453
1354,1515.78491211
1368,4322.42285156
1373,1363.88305664
1375,686.628417969
1381,1573.76818848
1384,4847.21630859
1385,4057.73388672
1388,5974.00341797
1401,5618.47021484
1402,2425.23608398
1404,1522.36108398
1406,1469.61425781
1409,1022.02081299
1422,1461.30322266
1429,2937.18969727
1433,5702.99121094
1438,1043.1784668
1444,1154.07873535
1446,1112.9609375
1450,1106.54125977
1451,736.776489258
1454,1753.5222168
1458,2173.46875
1461,3053.73632812
1464,5839.453125
1465,1077.01196289
1478,1986.11987305
1479,1611.20300293
1480,2506.3203125
1484,2242.82885742
1486,988.498718262
1488,888.664550781
1489,3340.91137695
1491,1053.55834961
1507,2031.9095459
1515,1945.30078125
1519,2676.33740234
1528,1738.20874023
1529,1002.15118408
1530,2838.10522461
1532,1096.6003418
1541,1581.89099121
1542,3352.29736328
1547,1618.0513916
1549,1086.0065918
1553,2381.07861328
1554,2809.36157227
1555,1350.87329102
1559,1588.84008789
1565,1527.77697754
1568,1097.3692627
1576,3409.83862305
1579,931.758972168
1592,948.395812988
1596,3184.31811523
1605,949.301940918
1607,1570.74890137
1612,2231.54003906
1617,2928.78710938
1619,2099.1628418
1620,8712.98046875
1624,2352.46484375
1627,1367.97949219
1633,1803.75366211
